natural_language,sql,mongodb,operation
Delete projects with project_id less than 23457,DELETE FROM projects WHERE project_id < 23457;,db.projects.deleteMany({project_id: {$lt: 23457}}),DELETE
"Insert a new project with project_id as 7040, project_name as Christopher Smith, start_date as 2022-06-04","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (7040, 'Christopher Smith', '2022-06-04', '2023-06-11', 36450.33, 'Completed');","db.projects.insertOne({
  ""project_id"": 7040,
  ""project_name"": ""Christopher Smith"",
  ""start_date"": ""2022-06-04"",
  ""end_date"": ""2023-06-11"",
  ""budget"": 36450.33,
  ""status"": ""Completed""
})",CREATE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
Remove employees where employee_id is 8448,DELETE FROM employees WHERE employee_id = '8448';,db.employees.deleteMany({employee_id: '8448'}),DELETE
"Insert a new employee with employee_id as 2013, name as Jessica Bradley, email as zjuarez@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (2013, 'Jessica Bradley', 'zjuarez@example.org', 'Operations', 51657.57, '2023-07-04', 9490);","db.employees.insertOne({
  ""employee_id"": 2013,
  ""name"": ""Jessica Bradley"",
  ""email"": ""zjuarez@example.org"",
  ""department"": ""Operations"",
  ""salary"": 51657.57,
  ""hire_date"": ""2023-07-04"",
  ""age"": 9490
})",CREATE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Change manager_id to 3130 for all departments,UPDATE departments SET manager_id = '3130';,"db.departments.updateMany({}, {$set: {manager_id: '3130'}})",UPDATE
Show departments with location greater than 4088,SELECT * FROM departments WHERE location > 4088;,db.departments.find({location: {$gt: 4088}}),READ
Update products set price to 93874.15 where category is Office Supplies,UPDATE products SET price = '93874.15' WHERE category = 'Office Supplies';,"db.products.updateMany({category: 'Office Supplies'}, {$set: {price: '93874.15'}})",UPDATE
Remove departments where department_id is 5510,DELETE FROM departments WHERE department_id = '5510';,db.departments.deleteMany({department_id: '5510'}),DELETE
Update orders set customer_name to Sharon Fowler where total_amount is 99335.33,UPDATE orders SET customer_name = 'Sharon Fowler' WHERE total_amount = '99335.33';,"db.orders.updateMany({total_amount: '99335.33'}, {$set: {customer_name: 'Sharon Fowler'}})",UPDATE
Remove products where product_id is 884,DELETE FROM products WHERE product_id = '884';,db.products.deleteMany({product_id: '884'}),DELETE
"Insert a new order with order_id as 7540, customer_name as Mr. Riley Graham Jr., product_name as Douglas Nicholson","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (7540, 'Mr. Riley Graham Jr.', 'Douglas Nicholson', 7321, '2024-04-15', 86406.28);","db.orders.insertOne({
  ""order_id"": 7540,
  ""customer_name"": ""Mr. Riley Graham Jr."",
  ""product_name"": ""Douglas Nicholson"",
  ""quantity"": 7321,
  ""order_date"": ""2024-04-15"",
  ""total_amount"": 86406.28
})",CREATE
"Insert a new project with project_id as 8836, project_name as Lindsay Patel, start_date as 2024-10-19","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (8836, 'Lindsay Patel', '2024-10-19', '2024-10-12', 21696.23, 'Pending');","db.projects.insertOne({
  ""project_id"": 8836,
  ""project_name"": ""Lindsay Patel"",
  ""start_date"": ""2024-10-19"",
  ""end_date"": ""2024-10-12"",
  ""budget"": 21696.23,
  ""status"": ""Pending""
})",CREATE
Change order_date to 2022-05-17 for all orders,UPDATE orders SET order_date = '2022-05-17';,"db.orders.updateMany({}, {$set: {order_date: '2022-05-17'}})",UPDATE
Show average budget from projects,SELECT AVG(budget) FROM projects;,"db.projects.aggregate([{$group: {_id: null, avg: {$avg: '$budget'}}}])",READ
Update projects set start_date to 2025-12-10 where status is Completed,UPDATE projects SET start_date = '2025-12-10' WHERE status = 'Completed';,"db.projects.updateMany({status: 'Completed'}, {$set: {start_date: '2025-12-10'}})",UPDATE
Get all start_date from projects,SELECT start_date FROM projects;,"db.projects.find({}, {start_date: 1})",READ
Show average quantity from orders,SELECT AVG(quantity) FROM orders;,"db.orders.aggregate([{$group: {_id: null, avg: {$avg: '$quantity'}}}])",READ
Get top 30 departments ordered by location,SELECT * FROM departments ORDER BY location DESC LIMIT 30;,db.departments.find({}).sort({location: -1}).limit(30),READ
Change budget to 48794.43 for all projects,UPDATE projects SET budget = '48794.43';,"db.projects.updateMany({}, {$set: {budget: '48794.43'}})",UPDATE
Show all orders,SELECT * FROM orders;,db.orders.find({}),READ
Get all department from employees,SELECT department FROM employees;,"db.employees.find({}, {department: 1})",READ
Change department_id to 243 for all departments,UPDATE departments SET department_id = '243';,"db.departments.updateMany({}, {$set: {department_id: '243'}})",UPDATE
Get top 37 projects ordered by project_id,SELECT * FROM projects ORDER BY project_id DESC LIMIT 37;,db.projects.find({}).sort({project_id: -1}).limit(37),READ
"Insert a new order with order_id as 2358, customer_name as Margaret Thomas, product_name as Robin Cooper","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (2358, 'Margaret Thomas', 'Robin Cooper', 4472, '2023-06-03', 27539.15);","db.orders.insertOne({
  ""order_id"": 2358,
  ""customer_name"": ""Margaret Thomas"",
  ""product_name"": ""Robin Cooper"",
  ""quantity"": 4472,
  ""order_date"": ""2023-06-03"",
  ""total_amount"": 27539.15
})",CREATE
Get all salary from employees,SELECT salary FROM employees;,"db.employees.find({}, {salary: 1})",READ
Increase product_id by 1191 in products where category equals Software,UPDATE products SET product_id = product_id + 1191 WHERE category = 'Software';,"db.products.updateMany({category: 'Software'}, {$inc: {product_id: 1191}})",UPDATE
Remove employees where age is 7259,DELETE FROM employees WHERE age = '7259';,db.employees.deleteMany({age: '7259'}),DELETE
Delete employees with salary less than 14354,DELETE FROM employees WHERE salary < 14354;,db.employees.deleteMany({salary: {$lt: 14354}}),DELETE
Update products set stock_quantity to 5449 where price is 79979.91,UPDATE products SET stock_quantity = '5449' WHERE price = '79979.91';,"db.products.updateMany({price: '79979.91'}, {$set: {stock_quantity: '5449'}})",UPDATE
Remove products where product_id is 466,DELETE FROM products WHERE product_id = '466';,db.products.deleteMany({product_id: '466'}),DELETE
Find departments where manager_id is 6429,SELECT * FROM departments WHERE manager_id = '6429';,db.departments.find({manager_id: '6429'}),READ
Get top 32 departments ordered by department_name,SELECT * FROM departments ORDER BY department_name DESC LIMIT 32;,db.departments.find({}).sort({department_name: -1}).limit(32),READ
Delete orders with total_amount less than 38354,DELETE FROM orders WHERE total_amount < 38354;,db.orders.deleteMany({total_amount: {$lt: 38354}}),DELETE
Remove employees where department is Sales,DELETE FROM employees WHERE department = 'Sales';,db.employees.deleteMany({department: 'Sales'}),DELETE
Increase age by 1478 in employees where name equals Christopher Wallace,UPDATE employees SET age = age + 1478 WHERE name = 'Christopher Wallace';,"db.employees.updateMany({name: 'Christopher Wallace'}, {$inc: {age: 1478}})",UPDATE
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
Update orders set quantity to 3364 where total_amount is 81595.55,UPDATE orders SET quantity = '3364' WHERE total_amount = '81595.55';,"db.orders.updateMany({total_amount: '81595.55'}, {$set: {quantity: '3364'}})",UPDATE
"Insert a new department with department_id as 1374, department_name as Deborah Hoffman, manager_id as 7369","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (1374, 'Deborah Hoffman', 7369, 29727.41, 'Lake Emmaside');","db.departments.insertOne({
  ""department_id"": 1374,
  ""department_name"": ""Deborah Hoffman"",
  ""manager_id"": 7369,
  ""budget"": 29727.41,
  ""location"": ""Lake Emmaside""
})",CREATE
Increase department_id by 3352 in departments where manager_id equals 7042,UPDATE departments SET department_id = department_id + 3352 WHERE manager_id = '7042';,"db.departments.updateMany({manager_id: '7042'}, {$inc: {department_id: 3352}})",UPDATE
"Insert a new employee with employee_id as 8619, name as Crystal Thomas, email as jamesjohn@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (8619, 'Crystal Thomas', 'jamesjohn@example.org', 'Engineering', 72585.82, '2025-10-17', 6743);","db.employees.insertOne({
  ""employee_id"": 8619,
  ""name"": ""Crystal Thomas"",
  ""email"": ""jamesjohn@example.org"",
  ""department"": ""Engineering"",
  ""salary"": 72585.82,
  ""hire_date"": ""2025-10-17"",
  ""age"": 6743
})",CREATE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
Update projects set project_id to 6241 where start_date is 2023-12-26,UPDATE projects SET project_id = '6241' WHERE start_date = '2023-12-26';,"db.projects.updateMany({start_date: '2023-12-26'}, {$set: {project_id: '6241'}})",UPDATE
"Insert a new order with order_id as 9083, customer_name as Gregory Potter, product_name as Susan Jones","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (9083, 'Gregory Potter', 'Susan Jones', 2677, '2023-07-05', 86756.13);","db.orders.insertOne({
  ""order_id"": 9083,
  ""customer_name"": ""Gregory Potter"",
  ""product_name"": ""Susan Jones"",
  ""quantity"": 2677,
  ""order_date"": ""2023-07-05"",
  ""total_amount"": 86756.13
})",CREATE
"Insert a new order with order_id as 3883, customer_name as Claudia Strickland, product_name as Susan Freeman","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (3883, 'Claudia Strickland', 'Susan Freeman', 9593, '2022-03-26', 68163.89);","db.orders.insertOne({
  ""order_id"": 3883,
  ""customer_name"": ""Claudia Strickland"",
  ""product_name"": ""Susan Freeman"",
  ""quantity"": 9593,
  ""order_date"": ""2022-03-26"",
  ""total_amount"": 68163.89
})",CREATE
Find employees where age contains sport,SELECT * FROM employees WHERE age LIKE '%sport%';,"db.employees.find({age: {$regex: 'sport', $options: 'i'}})",READ
"Insert a new department with department_id as 8225, department_name as Kelsey Jackson, manager_id as 1691","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (8225, 'Kelsey Jackson', 1691, 49166.53, 'Markmouth');","db.departments.insertOne({
  ""department_id"": 8225,
  ""department_name"": ""Kelsey Jackson"",
  ""manager_id"": 1691,
  ""budget"": 49166.53,
  ""location"": ""Markmouth""
})",CREATE
Change status to Completed for all projects,UPDATE projects SET status = 'Completed';,"db.projects.updateMany({}, {$set: {status: 'Completed'}})",UPDATE
Change supplier to Williams-Greene for all products,UPDATE products SET supplier = 'Williams-Greene';,"db.products.updateMany({}, {$set: {supplier: 'Williams-Greene'}})",UPDATE
Remove projects where start_date is 2023-12-18,DELETE FROM projects WHERE start_date = '2023-12-18';,db.projects.deleteMany({start_date: '2023-12-18'}),DELETE
Remove products where product_id is 9982,DELETE FROM products WHERE product_id = '9982';,db.products.deleteMany({product_id: '9982'}),DELETE
Remove departments where department_id is 6705,DELETE FROM departments WHERE department_id = '6705';,db.departments.deleteMany({department_id: '6705'}),DELETE
Increase employee_id by 4902 in employees where email equals rtownsend@example.net,UPDATE employees SET employee_id = employee_id + 4902 WHERE email = 'rtownsend@example.net';,"db.employees.updateMany({email: 'rtownsend@example.net'}, {$inc: {employee_id: 4902}})",UPDATE
"Insert a new project with project_id as 6538, project_name as Ashley Harris, start_date as 2022-05-20","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (6538, 'Ashley Harris', '2022-05-20', '2023-06-01', 63959.26, 'Completed');","db.projects.insertOne({
  ""project_id"": 6538,
  ""project_name"": ""Ashley Harris"",
  ""start_date"": ""2022-05-20"",
  ""end_date"": ""2023-06-01"",
  ""budget"": 63959.26,
  ""status"": ""Completed""
})",CREATE
Increase price by 4838 in products where product_name equals William Mcknight,UPDATE products SET price = price + 4838 WHERE product_name = 'William Mcknight';,"db.products.updateMany({product_name: 'William Mcknight'}, {$inc: {price: 4838}})",UPDATE
Increase quantity by 2874 in orders where order_id equals 18,UPDATE orders SET quantity = quantity + 2874 WHERE order_id = '18';,"db.orders.updateMany({order_id: '18'}, {$inc: {quantity: 2874}})",UPDATE
Increase price by 4931 in products where product_id equals 6042,UPDATE products SET price = price + 4931 WHERE product_id = '6042';,"db.products.updateMany({product_id: '6042'}, {$inc: {price: 4931}})",UPDATE
Remove departments where budget is 68142.19,DELETE FROM departments WHERE budget = '68142.19';,db.departments.deleteMany({budget: '68142.19'}),DELETE
Remove projects where start_date is 2022-04-18,DELETE FROM projects WHERE start_date = '2022-04-18';,db.projects.deleteMany({start_date: '2022-04-18'}),DELETE
Increase order_id by 2609 in orders where quantity equals 1482,UPDATE orders SET order_id = order_id + 2609 WHERE quantity = '1482';,"db.orders.updateMany({quantity: '1482'}, {$inc: {order_id: 2609}})",UPDATE
"Insert a new employee with employee_id as 1959, name as Kevin Garcia, email as david11@example.net","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (1959, 'Kevin Garcia', 'david11@example.net', 'Sales', 38773.18, '2025-08-17', 294);","db.employees.insertOne({
  ""employee_id"": 1959,
  ""name"": ""Kevin Garcia"",
  ""email"": ""david11@example.net"",
  ""department"": ""Sales"",
  ""salary"": 38773.18,
  ""hire_date"": ""2025-08-17"",
  ""age"": 294
})",CREATE
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
"Insert a new employee with employee_id as 8051, name as Angela Garcia, email as rodriguezangela@example.net","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (8051, 'Angela Garcia', 'rodriguezangela@example.net', 'Marketing', 53961.57, '2025-05-24', 3604);","db.employees.insertOne({
  ""employee_id"": 8051,
  ""name"": ""Angela Garcia"",
  ""email"": ""rodriguezangela@example.net"",
  ""department"": ""Marketing"",
  ""salary"": 53961.57,
  ""hire_date"": ""2025-05-24"",
  ""age"": 3604
})",CREATE
Delete products with price less than 2861,DELETE FROM products WHERE price < 2861;,db.products.deleteMany({price: {$lt: 2861}}),DELETE
Remove products where category is Electronics,DELETE FROM products WHERE category = 'Electronics';,db.products.deleteMany({category: 'Electronics'}),DELETE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Show all departments,SELECT * FROM departments;,db.departments.find({}),READ
Increase salary by 849 in employees where name equals Eric Li,UPDATE employees SET salary = salary + 849 WHERE name = 'Eric Li';,"db.employees.updateMany({name: 'Eric Li'}, {$inc: {salary: 849}})",UPDATE
Increase budget by 2281 in departments where department_name equals Barry Morgan,UPDATE departments SET budget = budget + 2281 WHERE department_name = 'Barry Morgan';,"db.departments.updateMany({department_name: 'Barry Morgan'}, {$inc: {budget: 2281}})",UPDATE
"Insert a new order with order_id as 3840, customer_name as Timothy Brown, product_name as Virginia Wiley","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (3840, 'Timothy Brown', 'Virginia Wiley', 125, '2021-05-22', 74907.52);","db.orders.insertOne({
  ""order_id"": 3840,
  ""customer_name"": ""Timothy Brown"",
  ""product_name"": ""Virginia Wiley"",
  ""quantity"": 125,
  ""order_date"": ""2021-05-22"",
  ""total_amount"": 74907.52
})",CREATE
"Insert a new order with order_id as 9714, customer_name as Jessica Galvan, product_name as Scott King","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (9714, 'Jessica Galvan', 'Scott King', 6682, '2024-01-18', 49373.39);","db.orders.insertOne({
  ""order_id"": 9714,
  ""customer_name"": ""Jessica Galvan"",
  ""product_name"": ""Scott King"",
  ""quantity"": 6682,
  ""order_date"": ""2024-01-18"",
  ""total_amount"": 49373.39
})",CREATE
"Insert a new product with product_id as 5543, product_name as Kenneth Baker, category as Software","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (5543, 'Kenneth Baker', 'Software', 54945.0, 6726, 'Ortiz-Bender');","db.products.insertOne({
  ""product_id"": 5543,
  ""product_name"": ""Kenneth Baker"",
  ""category"": ""Software"",
  ""price"": 54945.0,
  ""stock_quantity"": 6726,
  ""supplier"": ""Ortiz-Bender""
})",CREATE
Remove products where stock_quantity is 2539,DELETE FROM products WHERE stock_quantity = '2539';,db.products.deleteMany({stock_quantity: '2539'}),DELETE
Change product_id to 7942 for all products,UPDATE products SET product_id = '7942';,"db.products.updateMany({}, {$set: {product_id: '7942'}})",UPDATE
"Insert a new department with department_id as 2924, department_name as Lauren Richards, manager_id as 1978","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (2924, 'Lauren Richards', 1978, 35862.94, 'South Carlview');","db.departments.insertOne({
  ""department_id"": 2924,
  ""department_name"": ""Lauren Richards"",
  ""manager_id"": 1978,
  ""budget"": 35862.94,
  ""location"": ""South Carlview""
})",CREATE
Update projects set status to Completed where end_date is 2025-07-16,UPDATE projects SET status = 'Completed' WHERE end_date = '2025-07-16';,"db.projects.updateMany({end_date: '2025-07-16'}, {$set: {status: 'Completed'}})",UPDATE
Update projects set project_id to 6347 where status is Cancelled,UPDATE projects SET project_id = '6347' WHERE status = 'Cancelled';,"db.projects.updateMany({status: 'Cancelled'}, {$set: {project_id: '6347'}})",UPDATE
Show products with product_id greater than 16121,SELECT * FROM products WHERE product_id > 16121;,db.products.find({product_id: {$gt: 16121}}),READ
Find employees where salary contains animal,SELECT * FROM employees WHERE salary LIKE '%animal%';,"db.employees.find({salary: {$regex: 'animal', $options: 'i'}})",READ
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
"Insert a new product with product_id as 5566, product_name as Anthony Daniel, category as Electronics","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (5566, 'Anthony Daniel', 'Electronics', 98478.58, 1632, 'Nichols and Sons');","db.products.insertOne({
  ""product_id"": 5566,
  ""product_name"": ""Anthony Daniel"",
  ""category"": ""Electronics"",
  ""price"": 98478.58,
  ""stock_quantity"": 1632,
  ""supplier"": ""Nichols and Sons""
})",CREATE
Delete projects with budget less than 10911,DELETE FROM projects WHERE budget < 10911;,db.projects.deleteMany({budget: {$lt: 10911}}),DELETE
Update employees set email to jessicagoodman@example.com where email is john53@example.com,UPDATE employees SET email = 'jessicagoodman@example.com' WHERE email = 'john53@example.com';,"db.employees.updateMany({email: 'john53@example.com'}, {$set: {email: 'jessicagoodman@example.com'}})",UPDATE
Show all departments,SELECT * FROM departments;,db.departments.find({}),READ
Delete products with stock_quantity less than 35400,DELETE FROM products WHERE stock_quantity < 35400;,db.products.deleteMany({stock_quantity: {$lt: 35400}}),DELETE
"Insert a new order with order_id as 3613, customer_name as David Williams, product_name as Garrett Herrera","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (3613, 'David Williams', 'Garrett Herrera', 7469, '2021-09-18', 57786.71);","db.orders.insertOne({
  ""order_id"": 3613,
  ""customer_name"": ""David Williams"",
  ""product_name"": ""Garrett Herrera"",
  ""quantity"": 7469,
  ""order_date"": ""2021-09-18"",
  ""total_amount"": 57786.71
})",CREATE
Increase budget by 4313 in projects where project_name equals Kelly Ward,UPDATE projects SET budget = budget + 4313 WHERE project_name = 'Kelly Ward';,"db.projects.updateMany({project_name: 'Kelly Ward'}, {$inc: {budget: 4313}})",UPDATE
Get top 6 orders ordered by customer_name,SELECT * FROM orders ORDER BY customer_name DESC LIMIT 6;,db.orders.find({}).sort({customer_name: -1}).limit(6),READ
"Insert a new project with project_id as 2813, project_name as Mark Johnson, start_date as 2024-02-29","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (2813, 'Mark Johnson', '2024-02-29', '2024-09-27', 20799.31, 'Cancelled');","db.projects.insertOne({
  ""project_id"": 2813,
  ""project_name"": ""Mark Johnson"",
  ""start_date"": ""2024-02-29"",
  ""end_date"": ""2024-09-27"",
  ""budget"": 20799.31,
  ""status"": ""Cancelled""
})",CREATE
Show all projects,SELECT * FROM projects;,db.projects.find({}),READ
Remove products where category is Electronics,DELETE FROM products WHERE category = 'Electronics';,db.products.deleteMany({category: 'Electronics'}),DELETE
"Insert a new employee with employee_id as 8122, name as John Horton, email as stevenwalker@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (8122, 'John Horton', 'stevenwalker@example.org', 'Operations', 66859.8, '2021-12-18', 6679);","db.employees.insertOne({
  ""employee_id"": 8122,
  ""name"": ""John Horton"",
  ""email"": ""stevenwalker@example.org"",
  ""department"": ""Operations"",
  ""salary"": 66859.8,
  ""hire_date"": ""2021-12-18"",
  ""age"": 6679
})",CREATE
Find products where price contains able,SELECT * FROM products WHERE price LIKE '%able%';,"db.products.find({price: {$regex: 'able', $options: 'i'}})",READ
"Insert a new order with order_id as 1775, customer_name as Amanda Hester, product_name as Jonathan Martinez","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (1775, 'Amanda Hester', 'Jonathan Martinez', 4529, '2024-04-01', 80681.63);","db.orders.insertOne({
  ""order_id"": 1775,
  ""customer_name"": ""Amanda Hester"",
  ""product_name"": ""Jonathan Martinez"",
  ""quantity"": 4529,
  ""order_date"": ""2024-04-01"",
  ""total_amount"": 80681.63
})",CREATE
Remove products where category is Electronics,DELETE FROM products WHERE category = 'Electronics';,db.products.deleteMany({category: 'Electronics'}),DELETE
Change department to Engineering for all employees,UPDATE employees SET department = 'Engineering';,"db.employees.updateMany({}, {$set: {department: 'Engineering'}})",UPDATE
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Change stock_quantity to 6776 for all products,UPDATE products SET stock_quantity = '6776';,"db.products.updateMany({}, {$set: {stock_quantity: '6776'}})",UPDATE
Delete departments with department_id less than 22444,DELETE FROM departments WHERE department_id < 22444;,db.departments.deleteMany({department_id: {$lt: 22444}}),DELETE
Delete departments with manager_id less than 25707,DELETE FROM departments WHERE manager_id < 25707;,db.departments.deleteMany({manager_id: {$lt: 25707}}),DELETE
Increase total_amount by 3014 in orders where quantity equals 2375,UPDATE orders SET total_amount = total_amount + 3014 WHERE quantity = '2375';,"db.orders.updateMany({quantity: '2375'}, {$inc: {total_amount: 3014}})",UPDATE
Remove projects where status is Cancelled,DELETE FROM projects WHERE status = 'Cancelled';,db.projects.deleteMany({status: 'Cancelled'}),DELETE
Find employees where name is Daniel Simmons,SELECT * FROM employees WHERE name = 'Daniel Simmons';,db.employees.find({name: 'Daniel Simmons'}),READ
"Insert a new product with product_id as 918, product_name as Melissa Woods, category as Furniture","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (918, 'Melissa Woods', 'Furniture', 5330.5, 7004, 'Jones-Hill');","db.products.insertOne({
  ""product_id"": 918,
  ""product_name"": ""Melissa Woods"",
  ""category"": ""Furniture"",
  ""price"": 5330.5,
  ""stock_quantity"": 7004,
  ""supplier"": ""Jones-Hill""
})",CREATE
"Insert a new employee with employee_id as 3207, name as Daniel Blankenship, email as matthew09@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (3207, 'Daniel Blankenship', 'matthew09@example.org', 'Sales', 16006.27, '2021-12-02', 4212);","db.employees.insertOne({
  ""employee_id"": 3207,
  ""name"": ""Daniel Blankenship"",
  ""email"": ""matthew09@example.org"",
  ""department"": ""Sales"",
  ""salary"": 16006.27,
  ""hire_date"": ""2021-12-02"",
  ""age"": 4212
})",CREATE
Get all project_id from projects,SELECT project_id FROM projects;,"db.projects.find({}, {project_id: 1})",READ
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
Increase employee_id by 3626 in employees where age equals 7939,UPDATE employees SET employee_id = employee_id + 3626 WHERE age = '7939';,"db.employees.updateMany({age: '7939'}, {$inc: {employee_id: 3626}})",UPDATE
Remove departments where location is South Brittanychester,DELETE FROM departments WHERE location = 'South Brittanychester';,db.departments.deleteMany({location: 'South Brittanychester'}),DELETE
"Insert a new order with order_id as 846, customer_name as Kerri Anderson, product_name as James Ferguson","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (846, 'Kerri Anderson', 'James Ferguson', 8450, '2023-07-23', 13446.18);","db.orders.insertOne({
  ""order_id"": 846,
  ""customer_name"": ""Kerri Anderson"",
  ""product_name"": ""James Ferguson"",
  ""quantity"": 8450,
  ""order_date"": ""2023-07-23"",
  ""total_amount"": 13446.18
})",CREATE
Delete employees with age less than 5460,DELETE FROM employees WHERE age < 5460;,db.employees.deleteMany({age: {$lt: 5460}}),DELETE
Show average budget from projects,SELECT AVG(budget) FROM projects;,"db.projects.aggregate([{$group: {_id: null, avg: {$avg: '$budget'}}}])",READ
Increase price by 2095 in products where product_id equals 6047,UPDATE products SET price = price + 2095 WHERE product_id = '6047';,"db.products.updateMany({product_id: '6047'}, {$inc: {price: 2095}})",UPDATE
Show products with product_id greater than 41983,SELECT * FROM products WHERE product_id > 41983;,db.products.find({product_id: {$gt: 41983}}),READ
Find orders where customer_name contains reduce,SELECT * FROM orders WHERE customer_name LIKE '%reduce%';,"db.orders.find({customer_name: {$regex: 'reduce', $options: 'i'}})",READ
"Insert a new product with product_id as 7050, product_name as Lisa Smith, category as Software","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (7050, 'Lisa Smith', 'Software', 41325.01, 7147, 'Ferguson Group');","db.products.insertOne({
  ""product_id"": 7050,
  ""product_name"": ""Lisa Smith"",
  ""category"": ""Software"",
  ""price"": 41325.01,
  ""stock_quantity"": 7147,
  ""supplier"": ""Ferguson Group""
})",CREATE
Delete projects with budget less than 39842,DELETE FROM projects WHERE budget < 39842;,db.projects.deleteMany({budget: {$lt: 39842}}),DELETE
Change department_name to Zachary Hernandez for all departments,UPDATE departments SET department_name = 'Zachary Hernandez';,"db.departments.updateMany({}, {$set: {department_name: 'Zachary Hernandez'}})",UPDATE
Get top 26 departments ordered by department_id,SELECT * FROM departments ORDER BY department_id DESC LIMIT 26;,db.departments.find({}).sort({department_id: -1}).limit(26),READ
Remove orders where order_date is 2021-08-20,DELETE FROM orders WHERE order_date = '2021-08-20';,db.orders.deleteMany({order_date: '2021-08-20'}),DELETE
"Insert a new department with department_id as 4886, department_name as Jennifer Ford, manager_id as 538","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (4886, 'Jennifer Ford', 538, 30570.13, 'Lake Diana');","db.departments.insertOne({
  ""department_id"": 4886,
  ""department_name"": ""Jennifer Ford"",
  ""manager_id"": 538,
  ""budget"": 30570.13,
  ""location"": ""Lake Diana""
})",CREATE
Change age to 7057 for all employees,UPDATE employees SET age = '7057';,"db.employees.updateMany({}, {$set: {age: '7057'}})",UPDATE
Get all manager_id from departments,SELECT manager_id FROM departments;,"db.departments.find({}, {manager_id: 1})",READ
"Insert a new employee with employee_id as 5232, name as Andrea Reed, email as natasha79@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (5232, 'Andrea Reed', 'natasha79@example.org', 'Operations', 1747.07, '2023-08-08', 3581);","db.employees.insertOne({
  ""employee_id"": 5232,
  ""name"": ""Andrea Reed"",
  ""email"": ""natasha79@example.org"",
  ""department"": ""Operations"",
  ""salary"": 1747.07,
  ""hire_date"": ""2023-08-08"",
  ""age"": 3581
})",CREATE
"Insert a new project with project_id as 5420, project_name as Christina Day, start_date as 2022-10-01","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (5420, 'Christina Day', '2022-10-01', '2023-10-21', 4874.3, 'Active');","db.projects.insertOne({
  ""project_id"": 5420,
  ""project_name"": ""Christina Day"",
  ""start_date"": ""2022-10-01"",
  ""end_date"": ""2023-10-21"",
  ""budget"": 4874.3,
  ""status"": ""Active""
})",CREATE
Delete products with stock_quantity less than 5647,DELETE FROM products WHERE stock_quantity < 5647;,db.products.deleteMany({stock_quantity: {$lt: 5647}}),DELETE
Show average price from products,SELECT AVG(price) FROM products;,"db.products.aggregate([{$group: {_id: null, avg: {$avg: '$price'}}}])",READ
Count all orders,SELECT COUNT(*) FROM orders;,db.orders.countDocuments({}),READ
Show all orders,SELECT * FROM orders;,db.orders.find({}),READ
